日本語,English,中文,한국語,,タグ説明
乳首を舐められてるんですよね……）,,,,,
（これっていわゆる………男女のまぐわい………なのでは…？）,,,,,
"\C[27]一人なら股間に手を伸ばし\RB[陰核,クリトリス]を弄り倒している程の",,,,,
刺激を与えられてなお、\v[474]はその誘惑に耐えていた,,,,,
（くっ……情けない……）,,,,,
（大人の余裕を見せつけたつもりが…）,,,,,
（く、くやしいけど……スイッチを入れられてしまったみたいです…）,,,,,
"（\RB[下腹部,アソコ]が…ジンジン熱い…",,,,,
"\RB[下着,ショーツ]にまでしみてるのがわかります…）",,,,,
（このまま焦らされたら………もう……手が……）,,,,,
\C[27]がんばれ、\v[474]、耐えるんだ、\v[474],,,,,
\C[27]\N[1]はそう自分へ言い聞かせ、,,,,,
股間へと伸びそうになる手を抑えこむ,,,,,
\C[27]その思いを裏切るかのように\v[474]の陰核は,,,,,
"下着の下で必死に\RB[勃起,アピール]している",,,,,
こらえる [\C[27]性欲ゲージ\V[47]%\C[0]],,,,,
\C[27]手淫する,,,,,
（冷静になりなさい…\N[1]…）,,,,,
（こんなものただの肉体的な刺激に過ぎません……）,,,,,
（冷静に……冷静に……）,,,,,
\C[27]\v[474]のぷっくりと勃起した乳頭は,,,,,
アルの口内でチロチロと舌先で転がされる,,,,,
んむぅ………マシュマロ………おいしぃ…,,,,,
いい加減にしなさい…！これはマシュマロではないと…,,,,,
んむぅ………お肉………おいしぃ…,,,,,
アル、起きなさい…！これはお肉ではないと…,,,,,
んむぅ………おっぱい………おいしぃ…,,,,,
アル、女性の乳房に吸いつくなんて破廉恥ですよ………！,,,,,
\v[474]……しゅき……,,,,,
（ま、まずい…不意打ち）,,,,,
えっ…！？…あ\I[15],,,,,
（今…性欲…マックスまで溜まってるから…！）,,,,,
\v[474]……しゅきしゅき……,,,,,
あ”っ…はい\I[15],,,,,
（あ、もうダメですね、これは）,,,,,
\v[474]………,,,,,
もっと言ってください,,,,,
\v[474]……\v[474]……,,,,,
もっともっと,,,,,
\v[474]……だいすき……\I[15],,,,,
（あ、イク）,,,,,
（イク、イっちゃう）,,,,,
"（あ、\RB[下着,ショーツ]、脱がないと、濡れ）",,,,,
ん”っ\I[15]ん”ん”ん”っ\I[15],,,,,
"\C[27]\v[474]はとっさの判断でひざ下まで\RB[下着,ショーツ]を下し、",,,,,
あらわになった割れ目からは勢いよく潮がピュッピュっと噴き出した,,,,,
～～～～ッッッッッッ\I[15],,,,,
はひっ…\I[15]ひっ…\I[15],,,,,
乳首を……舐められただけで達するなんて………,,,,,
ああ……情けない………私は最低です……,,,,,
はぁ……はぁ……はぁ……,,,,,
"（でも…\RB[手淫,て]は使ってないし…これは不可抗力…）",,,,,
"（\RB[合法,セーフ]ですよね…）",,,,,
だ、だめです,,,,,
マシュ………マロ……どこぉ……,,,,,
おしまい、マシュマロはおしまいです！,,,,,
お肉……どこぉ……,,,,,
おしまい、お肉はおしまいです！,,,,,
おっぱい……どこぉ……,,,,,
おしまい、おっぱいはおしまいです！,,,,,
ふぇ…,,,,,
はぁ……はぁ……,,,,,
ふぅ………,,,,,
理性の勝利です,,,,,
しかし危ないところでした,,,,,
"\C[27]\RB[性欲,ムラムラ]溜まってなくて本当によかった…\C[0]",,,,,
"（\RB[下着,ショーツ]がビショビショになると困るし………）",,,,,
"（ちょっと確認だけ""…しておきましょう）""",,,,,
（うんうん…なるほど…なるほど…）,,,,,
（ほうほう……）,,,,,
（……）,,,,,
（………漏らしたのかな？）,,,,,
"\C[27]\v[474]の\RB[性器,おまんこ]は既に準備万端といった具合でほぐれ、",,,,,
"\RB[下着,ショーツ]に大きなシミができるほどの愛液で溢れていた",,,,,
（いやそりゃそうですよ、無理ですよ）,,,,,
（こっちだって性欲溜まってるんですよ）,,,,,
（ビンビンの乳首舐めまわされて,,,,,
平常心でいれるわけないじゃないですか）,,,,,
お、起きてないですよね…アル？,,,,,
すーっ…………すーっ…………,,,,,
本当に起きてないんですね？,,,,,
\fs[20]\v[474]…一人で、すっごいエッチなことやっちゃおうかな～？,,,,,
……,,,,,
"（はぁ～ん\I[15] \RB[手淫,て]、止まりません\I[15]）",,,,,
\C[27]\v[474]の細く、しなやかな指は迷いなく,,,,,
"パンツの中へと吸い込まれていき、\RB[陰核,クリトリス]を捻り潰した…",,,,,
\C[27]次第にヌチヌチと水気を帯びた音が小刻みに響き渡ると、,,,,,
\v[474]の甘く艶のある吐息が漏れ出した,,,,,
（仕方ないですよ…これは不可抗力…！）,,,,,
（私だってムラムラする時ぐらいありますよ……！そりゃ！）,,,,,
（あっ…\I[15] でもすごっ\I[15]）,,,,,
"（一人でむなしく\RB[自慰,オナ]るより",,,,,
隣に人がいるだけで全然効きますっ\I[15]）,,,,,
\C[27]溜まりきった性欲、背徳感、バレるかバレないのスリル…,,,,,
それら全てが溶けて混ぜ合わさり\v[474]の高揚感へと昇華する,,,,,
ん”っ…\I[15] ん”っ…ん”っ…ん”っ…\I[15],,,,,
（熱いの、こみあげてきた）,,,,,
（ご、ごめんなさいっ…もう止められないみたいです）,,,,,
（ごめんねっ、変態\v[474]、イっちゃいますね？）,,,,,
んむぅ………………しゅきぃ,,,,,
なにが好きなの…？,,,,,
ん”っ……もっと\I[15],,,,,
（あ…やば……イク）,,,,,
"（あ、やば、\RB[下着,ショーツ]、脱がないと、濡れ…）",,,,,
（うぅ………私は………最低の卑しい人間です……）,,,,,
（まぁ手は出してないし……）,,,,,
（んっ……もうちょっとで……イケそうだけど…）,,,,,
やっぱりこんなのよくないですっ！,,,,,
ん………むにゃ………,,,,,
（あ、しまった、つい心の声が…）,,,,,
あれ………？,,,,,
\v[474]………？,,,,,
どうしました？,,,,,
ん……あれ……？,,,,,
気のせい……かな……？,,,,,
なんだか苦しそうな声が…聞こえた気がする…,,,,,
寝ぼけているのでしょう……おやすみなさい……,,,,,
ん………………,,,,,
スヤァ………………,,,,,
（終わったかと思いました………）,,,,,
（今はあまり性欲が溜まっていなかったから理性で抑えきれましたね）,,,,,
（ムラムラしてる時なら過ちを犯すところでした）,,,,,

CE341:仲間離脱[共通処理],,,,,
う～ん…残念…今回は空振りだったね,,,,,
続きはまた明日にしようか、それじゃあ！,,,,,
はい、また後日,,,,,
ワウッ！！ワウッ！！,,,,,
またね、アッシュ,,,,,
終わりか？じゃあな,,,,,
お疲れさまでした,,,,,
今日はこの辺にしとくか！,,,,,
ええ、お疲れさまでした,,,,,
探索お疲れさまでした,,,,,
高評価よろしくお願いいたします,,,,,
なんじゃ、もう終いか,,,,,
ふんっ、つまらぬ,,,,,

CE342:カジノ仕事,,,,,
\V[439],,,,,
ティーを注ぐ,,,,,
エールを注ぐ,,,,,
カジノコインを渡す,,,,,
宴会芸を披露する,,,,,
勝負は時の運…,,,,,
ティーで一服いたしましょう,,,,,
少しお休みになってはいかがですか,,,,,
ティーをどうぞ…,,,,,
特製ブレンドのティーでございます…,,,,,
ごゆっくりとどうぞ…,,,,,
少々熱が入りすぎているようですね,,,,,
ティーで落ち着きましょう,,,,,
さぁティーでもお飲みください,,,,,
前を失礼いたします,,,,,
ティーをどうぞ,,,,,
土壇場では気迫が勝利を呼び込むのです,,,,,
エールで勢いをつかみましょう,,,,,
今こそ勝ち運をつかむときです,,,,,
エールをどうぞ,,,,,
ここで引いてはギャンブラーの名が廃りますわ,,,,,
景気づけのエールをどうぞ,,,,,
さぁ今が正念場です,,,,,
エールで気合を入れましょう,,,,,
勝利の女神の祝福、エールをどうぞ,,,,,
今が勝負の時です,,,,,
さぁエールを…,,,,,
どうぞ、カジノコインです,,,,,
お楽しみください,,,,,
お客様、勝負はまだまだこれからですわ,,,,,
カジノコインをどうぞ,,,,,
次こそは勝ちましょう,,,,,
さぁカジノコインを……,,,,,
貴方に勝利の女神の祝福が訪れますように…,,,,,
まだまだこれからですよね？,,,,,
カジノコインです、勝負ですよ,,,,,
まさかまだお帰りにならないですよね？,,,,,
お客様、カジノコインを受け取ってくださいませ,,,,,
（やりますか……”アレ”…）,,,,,
バニーY字開脚,,,,,
if(v[624]>=2)バニーポールダンス,,,,,
if(v[624]>=3)バニー早着替え,,,,,
こんな感じでいかがでしょうか？,,,,,
今が踏ん張りどころでございます、お客様,,,,,
前を失礼…,,,,,
頑張れ、頑張れ、お・客・様！,,,,,
フレー！フレー！お・客・様！,,,,,
ファイト！ファイト！お・客・様！,,,,,
私からのエールでございます,,,,,
魅了して差し上げます\I[15],,,,,
もっと近づいていただいてもかまいませんよ？,,,,,
お帰りにはまだ早いですよ、お客様,,,,,
バニーの本領をお見せしましょう,,,,,
ステージショーのお時間です、お客様,,,,,
ダンスステージの開幕です,,,,,
さぁ、マジックショーのお時間です\I[15],,,,,
皆様ご歓談中失礼します、ご注目くださいませ,,,,,
世にも不思議な奇術をお披露目いたしましょう,,,,,
では、ショータイムでございます,,,,,
皆様、ご注目下さいませ\I[15],,,,,
摩訶不思議なバニーマジックをお披露目いたします,,,,,
（ま、どうせ顔は見えないし…）,,,,,
リバース・バニーY字開脚,,,,,
if(v[624]>=2)リバース・バニーポールダンス,,,,,
if(v[624]>=3)リバース・バニー早着替え,,,,,

CE343:美貌補正＋報酬金,,,,,
少しづつ仕事も慣れてきました,,,,,
！！！,,,,,
新しい宴会芸を思いつきました……！,,,,,
早速試してみましょう,,,,,
仕事のコツを掴んだ気がします,,,,,
この仕事はもう極めた気がします,,,,,

CE346:セクシーショット,,,,,
"乳首や\RB[性器,おまんこ]こそギリギリ写っていないものの",,,,,
人には見せられない際どい\N[1]写真だ,,,,,

CE348:仲間セリフと離脱処理,,,,,
はぁ…はぁ……も、もう限界！,,,,,
ごめん、僕は先に帰還するよ……！また出直そう…！,,,,,
弾が尽きたか、ここらでお開きだ,,,,,
良いコンビネーションだった、じゃあな,,,,,
ヘッ…ヘッ…ヘッ…,,,,,
少し疲れが見えてきましたね,,,,,
体力のあるうちにお前はもう戻りなさい,,,,,
ワウッ！,,,,,
どうやら結構な老犬のようですね……,,,,,
無茶はいけません、そろそろ戻りなさい,,,,,
ありがとう、もう戻って大丈夫ですよ,,,,,
私は平気ですから,,,,,
ふぅ……私も疲れてきました,,,,,
そろそろ終わりにしましょうか,,,,,
そろそろ切り上げましょうか,,,,,
お疲れさま、アッシュ,,,,,
いつもありがとう……,,,,,
貴方がいてくれたおかげで、,,,,,
最初は怖かったダンジョンも随分と慣れてきました,,,,,
今日は終わりにしましょうか、アッシュ,,,,,
クゥ～～ン……,,,,,
狼犬は\n[1]を見つめ,,,,,
名残惜しそうに体をこすりつけた,,,,,
突然、どうしたのですか？,,,,,
こんなところで甘えたりして……,,,,,
……………ワウッ！,,,,,
狼犬は振り返らずに,,,,,
ダンジョンの暗い闇の中へと駆けていった,,,,,
あ……行ってしまった……,,,,,
まるで、私を心配して見守っていたような……,,,,,
不思議な犬でしたね……,,,,,
わりぃ！\N[1]！物資が切れちまった！,,,,,
先に撤退させてもらうぜ！続きはまた今度な！,,,,,
そろそろお時間です、お疲れ様でした,,,,,
ムッ……退勤の時間だ,,,,,
また会おう、いくさばでな,,,,,

CE350:汎用露出セリフ,,,,,
（こ……これではただの露出狂なのでは…？）,,,,,
（う………視線が……突き刺さる………）,,,,,
（は、早く服を着ないと………）,,,,,
（こ…これではまるで変態です…！）,,,,,
（さ、蔑むようなまなざしが…）,,,,,
（ハァ…ハァ……布…なんでもいいから…隠すものを……）,,,,,
（手だけではやはり乳輪まで隠しきれませんよっ……！）,,,,,
（あっ……しまっ…！乳輪がハミ出て……！）,,,,,
